# EDV4985 / 9E4985 / DL4985  17 Jul 2025  JFK-CVG representative path
# Times are UTC. NTSB turbulence encounter: 10:53 EDT (14:53Z) at ~18,000 ft on descent (DCA25LA272).
time,lat,lon,alt_ft
2025-07-17T13:28:00Z,40.63980,-73.77890,13
2025-07-17T13:28:30Z,40.64569,-73.83812,509
2025-07-17T13:29:00Z,40.65155,-73.89736,1004
2025-07-17T13:29:30Z,40.65738,-73.95660,1500
2025-07-17T13:30:00Z,40.66317,-74.01586,2516
2025-07-17T13:30:30Z,40.66894,-74.07512,3531
2025-07-17T13:31:00Z,40.67468,-74.13440,4547
2025-07-17T13:31:30Z,40.68038,-74.19369,5562
2025-07-17T13:32:00Z,40.68606,-74.25298,6578
2025-07-17T13:32:30Z,40.69171,-74.31229,7594
2025-07-17T13:33:00Z,40.69732,-74.37160,8609
2025-07-17T13:33:30Z,40.70282,-74.43094,9625
2025-07-17T13:34:00Z,40.70821,-74.49031,10641
2025-07-17T13:34:30Z,40.71357,-74.54968,11656
2025-07-17T13:35:00Z,40.71889,-74.60906,12672
2025-07-17T13:35:30Z,40.72419,-74.66845,13688
2025-07-17T13:36:00Z,40.72946,-74.72785,14703
2025-07-17T13:36:30Z,40.73469,-74.78726,15719
2025-07-17T13:37:00Z,40.73990,-74.84668,16734
2025-07-17T13:37:30Z,40.74507,-74.90611,17750
2025-07-17T13:38:00Z,40.75022,-74.96555,18766
2025-07-17T13:38:30Z,40.75533,-75.02500,19781
2025-07-17T13:39:00Z,40.76041,-75.08445,20797
2025-07-17T13:39:30Z,40.76547,-75.14392,21812
2025-07-17T13:40:00Z,40.77049,-75.20339,22828
2025-07-17T13:40:30Z,40.77548,-75.26287,23844
2025-07-17T13:41:00Z,40.78044,-75.32237,24859
2025-07-17T13:41:30Z,40.78537,-75.38187,25875
2025-07-17T13:42:00Z,40.79027,-75.44138,26891
2025-07-17T13:42:30Z,40.79514,-75.50090,27906
2025-07-17T13:43:00Z,40.79998,-75.56042,28922
2025-07-17T13:43:30Z,40.80479,-75.61996,29938
2025-07-17T13:44:00Z,40.80957,-75.67950,30953
2025-07-17T13:44:30Z,40.81431,-75.73906,31969
2025-07-17T13:45:00Z,40.81903,-75.79862,32984
2025-07-17T13:45:30Z,40.82372,-75.85819,34000
2025-07-17T13:46:00Z,40.82837,-75.91777,34000
2025-07-17T13:46:30Z,40.83300,-75.97735,34000
2025-07-17T13:47:00Z,40.83759,-76.03695,34000
2025-07-17T13:47:30Z,40.84215,-76.09655,34000
2025-07-17T13:48:00Z,40.84669,-76.15616,34000
2025-07-17T13:48:30Z,40.84844,-76.21573,34000
2025-07-17T13:49:00Z,40.84254,-76.27513,34000
2025-07-17T13:49:30Z,40.83660,-76.33452,34000
2025-07-17T13:50:00Z,40.83064,-76.39390,34000
2025-07-17T13:50:30Z,40.82464,-76.45327,34000
2025-07-17T13:51:00Z,40.81862,-76.51263,34000
2025-07-17T13:51:30Z,40.81256,-76.57198,34000
2025-07-17T13:52:00Z,40.80647,-76.63132,34000
2025-07-17T13:52:30Z,40.80035,-76.69064,34000
2025-07-17T13:53:00Z,40.79421,-76.74996,34000
2025-07-17T13:53:30Z,40.78803,-76.80926,34000
2025-07-17T13:54:00Z,40.78182,-76.86856,34000
2025-07-17T13:54:30Z,40.77558,-76.92784,34000
2025-07-17T13:55:00Z,40.76931,-76.98711,34000
2025-07-17T13:55:30Z,40.76301,-77.04637,34000
2025-07-17T13:56:00Z,40.75668,-77.10562,34000
2025-07-17T13:56:30Z,40.75032,-77.16486,34000
2025-07-17T13:57:00Z,40.74393,-77.22408,34000
2025-07-17T13:57:30Z,40.73751,-77.28330,34000
2025-07-17T13:58:00Z,40.73106,-77.34250,34000
2025-07-17T13:58:30Z,40.72458,-77.40169,34000
2025-07-17T13:59:00Z,40.71807,-77.46088,34000
2025-07-17T13:59:30Z,40.71153,-77.52004,34000
2025-07-17T14:00:00Z,40.70495,-77.57920,34000
2025-07-17T14:00:30Z,40.69835,-77.63835,34000
2025-07-17T14:01:00Z,40.69172,-77.69748,34000
2025-07-17T14:01:30Z,40.68506,-77.75660,34000
2025-07-17T14:02:00Z,40.67836,-77.81571,34000
2025-07-17T14:02:30Z,40.67164,-77.87481,34000
2025-07-17T14:03:00Z,40.66489,-77.93390,34000
2025-07-17T14:03:30Z,40.65811,-77.99297,34000
2025-07-17T14:04:00Z,40.65129,-78.05203,34000
2025-07-17T14:04:30Z,40.64445,-78.11108,34000
2025-07-17T14:05:00Z,40.63758,-78.17012,34000
2025-07-17T14:05:30Z,40.63067,-78.22915,34000
2025-07-17T14:06:00Z,40.62374,-78.28816,34000
2025-07-17T14:06:30Z,40.61678,-78.34716,34000
2025-07-17T14:07:00Z,40.60978,-78.40615,34000
2025-07-17T14:07:30Z,40.60276,-78.46513,34000
2025-07-17T14:08:00Z,40.59571,-78.52409,34000
2025-07-17T14:08:30Z,40.58862,-78.58304,34000
2025-07-17T14:09:00Z,40.58151,-78.64198,34000
2025-07-17T14:09:30Z,40.57437,-78.70091,34000
2025-07-17T14:10:00Z,40.56719,-78.75982,34000
2025-07-17T14:10:30Z,40.55999,-78.81872,34000
2025-07-17T14:11:00Z,40.55276,-78.87761,34000
2025-07-17T14:11:30Z,40.54485,-78.93634,34000
2025-07-17T14:12:00Z,40.53652,-78.99496,34000
2025-07-17T14:12:30Z,40.52816,-79.05357,34000
2025-07-17T14:13:00Z,40.51977,-79.11217,34000
2025-07-17T14:13:30Z,40.51135,-79.17075,34000
2025-07-17T14:14:00Z,40.50290,-79.22931,34000
2025-07-17T14:14:30Z,40.49442,-79.28786,34000
2025-07-17T14:15:00Z,40.48591,-79.34639,34000
2025-07-17T14:15:30Z,40.47737,-79.40491,34000
2025-07-17T14:16:00Z,40.46881,-79.46342,34000
2025-07-17T14:16:30Z,40.46021,-79.52191,34000
2025-07-17T14:17:00Z,40.45158,-79.58038,34000
2025-07-17T14:17:30Z,40.44293,-79.63884,34000
2025-07-17T14:18:00Z,40.43424,-79.69729,34000
2025-07-17T14:18:30Z,40.42553,-79.75572,34000
2025-07-17T14:19:00Z,40.41678,-79.81413,34000
2025-07-17T14:19:30Z,40.40801,-79.87253,34000
2025-07-17T14:20:00Z,40.39920,-79.93092,34000
2025-07-17T14:20:30Z,40.39037,-79.98929,34000
2025-07-17T14:21:00Z,40.38151,-80.04764,34000
2025-07-17T14:21:30Z,40.37262,-80.10598,34000
